,Label,Area in px²,Area in um²,Mean,XM,YM,X center biggest circle,Y center biggest circle,%Area,AR,Circ.,Round,Solidity,MScore,Length cell vector,Absolute angle,Rolling ball angle,Relative angle
1,1,7291.0,3080.4475,1.0,598.6675353175148,62.55177616239199,588,70,100.0,,0.4633986907461561,,,52.40605828748606,81.02089750202634,-2.1971276291734316,-0.9890502450175054,-1.2080773841559265
2,2,7108.0,3003.13,1.0,1033.1344963421498,60.23874507597074,1027,68,100.0,,0.4665619905212982,,,51.42774580926486,75.44883521098174,-2.4257372453160055,0.4657768162240693,-2.891514061540075
3,3,3897.0,1646.4825,1.0,295.2902232486528,74.2668719527842,289,86,100.0,,0.19036033813783723,,,11.417971715122592,15.206029305400596,-2.712445427848315,1.6491051483075212,1.9216347310237498
4,4,11760.0,4968.6,1.0,1289.2965986394559,147.15833333333333,1331,120,100.0,,0.13829004897584377,,,25.310152074778873,100.28477011458051,1.0042849127201308,1.1697162493921696,-0.1654313366720388
5,5,4250.0,1795.6250000000002,1.0,1112.8974117647058,172.49882352941177,1123,161,100.0,,0.21384443564668973,,,14.00780055539358,21.08664242806068,0.721417508345982,1.0031909061204922,-0.28177339777451027
6,6,1314.0,555.1650000000001,1.0,151.0,125.48249619482496,151,125,100.0,,0.9444423901938225,,,18.474867222841496,0.0,0.0,0.0,0.0
7,7,7505.0,3170.8625,1.0,359.10592938041304,206.36775483011326,369,240,100.0,,0.21107402898129035,,,24.577323127340442,73.38607641839776,2.8867517878031537,2.1040452141533765,0.7827065736497772
8,8,9409.0,3975.3025000000002,1.0,43.040599426081414,254.06727601232862,39,283,100.0,,0.21014441038685208,,,30.730137070053114,81.94373588604809,-3.060601779009581,-2.99209506005234,-0.0685067189572408
9,9,2492.0,1052.8700000000001,1.0,683.7833065810594,182.80457463884431,694,159,100.0,,0.3730717294145004,,,14.174929446461244,51.923169885266596,0.41575122252605184,-1.0673988823999792,1.4831501049260312
10,10,5591.0,2362.1975,1.0,845.6952244678948,243.2648900017886,849,265,100.0,,0.3586941184197193,,,31.023022540682685,77.71248197922841,2.9503340972781773,-1.3002403689959166,-2.0326108409054924
11,11,2800.0,1183.0000000000002,1.0,605.1214285714286,201.00607142857143,617,206,100.0,,0.33709519183896114,,,14.432668213549599,22.587110132508496,2.1126060518141556,-1.3079277818887587,-2.862651473476672
12,12,8626.0,3644.4850000000006,1.0,524.1180153025737,286.45629492232786,535,308,100.0,,0.2684784992321852,,,35.97099791833117,80.0921691931087,2.689436466063297,-1.602506273847647,-1.9912425672686425
13,13,5391.0,2277.6975,1.0,264.6150992394732,388.4104989797811,264,407,100.0,,0.39920303369728266,,,33.27723221981074,73.13298823806376,-3.1323583218674877,2.641206207642126,0.5096207776699727
14,14,7376.0,3116.36,1.0,1271.1588937093275,351.6969902386117,1257,350,100.0,,0.428405956335577,,,49.01852686166215,78.14992407424943,-1.4622686675326422,1.7573762192961615,3.063540420350783
